MATERIAL_ID,NAME,DESCRIPTION,MATERIAL_CATEGORY1,MATERIAL_CATEGORY2,MATERIAL_CATEGORY3,MATERIAL_CATEGORY4,ABC_CATEGORY,REFERNECT_PRICE,SPECIFICATION,MODEL,PROCESS_NAME,IS_PURCHASE,IS_PRODUCT,IS_SALE,INVENTORY_UOM,QTY_MIN,QTY_MAX,WEIGHT,VOLUME,IS_LOT_CONTROL,LOT_TYPE,IS_MRP,IS_JIT,STAND_TIME,IQC_LEAD_TIME,QTY_MIN_PRODUCT
02070023B,0520玻璃钢保养桶回收套件(终端净水机),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02070520B,0520玻璃钢保养桶回收套件(含后置KDF),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02070713B,0713玻璃钢保养桶回收套件(含后置KDF),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02070817B,0817玻璃钢保养桶回收套件(带底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02070835B,0835玻璃钢保养桶回收套件(后置/带底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02071017B,1017玻璃钢保养桶回收套件(后置/带底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02071035B,1035玻璃钢保养桶回收套件(后置/带底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080713B,0713玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080735B,0735玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080817B,0817玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080835B,0835玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080844B,0844玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02081035B,1035玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02081044B,1044玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02090817B,0817双桶回收套件(双桶含管路),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02090835B,0835双桶回收套件(双桶含管路),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02090844B,0844双桶回收套件(双桶含管路),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02091035B,1035双桶回收套件(双桶含管路),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02091044B,1044双桶回收套件(双桶含管路),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02070520B,0520玻璃钢保养桶回收套件(含后置KDF),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02071044B,1044玻璃钢保养桶回收套件(含后置KDF),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02071054B,1054玻璃钢保养桶回收套件(含后置KDF),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080713B,0713玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080817B,0817玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02080844B,0844玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
02081035B,1035玻璃钢保养桶回收套件(后置/无底座),,生产物料,客供,,,C,,,,客供,N,N,N,只,0,1000,,,N,M,Y,N,,3,0
