what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.birt.report.engine.emitter.pdf,2.3.2.r232_20090202,org.eclipse.birt.report.engine.emitter.pdf,1305970524390
stopped,bundle,org.eclipse.birt.report.engine.emitter.ppt,2.3.2.r232_20090202,org.eclipse.birt.report.engine.emitter.ppt,1305970524390
stopped,bundle,org.eclipse.birt.report.engine.emitter.wpml,2.3.2.r232_20090202,org.eclipse.birt.report.engine.emitter.wpml,1305970524390
stopped,bundle,org.eclipse.birt.report.item.crosstab.core,2.3.2.r232_20090202,org.eclipse.birt.report.item.crosstab.core,1305970524390
stopped,bundle,org.eclipse.birt.report.engine,2.3.2.r232_20090217,org.eclipse.birt.report.engine,1305970524390
stopped,bundle,org.eclipse.birt.report.data.adapter,2.3.2.r232_v20090211,org.eclipse.birt.report.data.adapter,1305970524390
stopped,bundle,org.eclipse.birt.data.aggregation,2.3.2.r232_v20090211,org.eclipse.birt.data.aggregation,1305970524390
stopped,bundle,org.eclipse.birt.data,2.3.2.r232_v20090211,org.eclipse.birt.data,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.jdbc.dbprofile,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.ui,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.jdbc.ui,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.sampledb.ui,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.sampledb.ui,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.sampledb,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.sampledb,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc,2.3.2.r232_v20090212,org.eclipse.birt.report.data.oda.jdbc,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.core,2.3.2.r232_20090202,org.eclipse.birt.report.designer.core,1305970524390
stopped,bundle,org.eclipse.birt.report.model.adapter.oda,2.3.2.r232_20090108,org.eclipse.birt.report.model.adapter.oda,1305970524390
stopped,bundle,org.eclipse.birt.report.model,2.3.2.r232_20090115,org.eclipse.birt.report.model,1305970524390
stopped,bundle,org.eclipse.birt.core,2.3.2.r232_20090204a,org.eclipse.birt.core,1305970524390
stopped,bundle,org.eclipse.birt.report.data.oda.xml,2.3.2.r232_v20090211,org.eclipse.birt.report.data.oda.xml,1305970524390
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1305970524390
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1305970524390
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1305970524390
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1305970524390
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1305970524390
